Counter (ms), LH - Accel: X,LH - Accel: Y,LH - Accel: Z,LH - ADC Channel 1,LH - ADC Channel 2,LH - ADC Channel 3,LH - ADC Channel 4,LH - ADC Channel 5,LH - ADC Channel 6,LH - ADC Channel 7, RH - Accel: X,RH - Accel: Y,RH - Accel: Z,RH - ADC Channel 1,RH - ADC Channel 2,RH - ADC Channel 3,RH - ADC Channel 4,RH - ADC Channel 5,RH - ADC Channel 6,RH - ADC Channel 7, Pelvis - Accel: X, Pelvis - Accel: Y, Pelvis - Accel: Z  
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-86,-10
17,80,-15,10,13,67,83,35,50,105,37,80,1,12,47,76,-1,42,41,4,182,0,-86,-10
27,80,-13,12,13,66,83,36,50,107,37,80,0,10,49,76,0,45,40,6,181,0,-86,-8
37,80,-11,11,14,65,83,35,51,107,36,80,0,8,48,77,-1,43,41,5,186,1,-99,-7
46,64,-12,11,14,67,82,36,50,106,37,80,0,9,49,77,0,43,40,4,179,0,-98,-12
56,80,-14,11,14,65,84,36,50,107,35,80,0,10,49,76,0,42,39,6,182,-5,-101,-12
66,80,-13,15,13,66,84,35,50,107,36,80,1,9,49,75,0,44,41,4,182,-11,-93,-10
76,80,-14,12,14,65,82,37,50,107,37,80,2,9,47,78,-2,42,35,4,182,-13,-87,-9
84,80,-13,12,13,66,83,36,52,106,36,80,1,10,48,76,-1,42,41,5,181,-13,-79,-13
94,80,-10,12,13,66,84,35,51,110,37,80,1,11,47,76,0,43,39,6,180,-5,-77,-14
104,64,-14,12,14,66,83,35,50,107,37,80,1,9,47,76,-1,45,41,5,181,-3,-73,-14
114,80,-10,11,15,67,83,35,50,106,35,80,2,11,47,76,-6,42,39,4,181,0,-72,-15
123,80,-12,11,14,66,83,37,50,106,36,80,1,9,48,77,-1,42,40,4,181,-1,-68,-13
133,80,-11,11,14,65,89,35,51,106,36,80,0,9,47,74,-1,42,40,3,181,0,-76,-14
143,80,-14,11,13,64,76,35,50,107,36,80,1,10,48,76,-1,42,40,5,180,-3,-79,-15
152,80,-14,10,14,64,82,35,50,107,35,80,1,11,48,76,-1,44,40,4,181,-3,-82,-13
162,80,-13,13,14,66,82,36,50,107,37,80,2,10,47,76,0,42,39,4,182,-4,-84,-11
171,80,-14,8,13,66,83,35,50,106,37,80,1,9,47,75,1,42,40,6,181,-5,-90,-10
181,64,-11,11,14,66,84,36,49,107,37,80,1,9,48,76,0,44,40,4,182,-4,-94,-9
191,80,-10,11,13,65,83,35,50,106,35,80,2,11,47,75,-2,44,41,5,182,-3,-94,-12
201,80,-14,10,13,66,84,36,49,107,36,80,0,10,47,75,-1,42,40,5,181,-3,-90,-11
210,80,-13,13,13,65,82,34,51,106,36,80,1,10,47,74,0,41,39,5,182,-2,-87,-11
219,80,-14,12,14,65,83,33,50,107,28,80,1,12,47,75,0,43,40,5,181,-3,-83,-12
229,80,-14,10,13,66,83,34,50,107,36,80,1,9,48,77,0,42,40,4,180,-3,-81,-14
239,64,-11,11,13,66,82,31,49,107,36,80,2,10,48,76,0,43,41,3,181,-3,-82,-12
248,80,-11,9,14,66,83,35,49,109,36,80,1,9,48,75,-1,42,40,4,182,-4,-79,-14
258,64,-13,10,13,65,82,35,51,107,36,80,0,10,47,76,-2,42,40,4,181,-3,-79,-13
268,80,-12,10,14,66,82,35,50,106,36,80,2,10,48,76,-2,43,41,4,182,-4,-80,-11
278,80,-13,11,13,61,82,36,51,106,35,80,1,11,47,75,-2,41,40,4,180,-3,-80,-14
287,64,-12,12,15,66,82,34,50,108,34,80,1,8,48,74,-1,43,40,4,182,0,-83,-13
296,80,-11,10,14,66,82,36,50,107,35,80,1,8,47,74,-1,43,39,4,181,-2,-84,-11
306,80,-13,12,13,65,81,35,50,107,35,80,0,10,49,75,-2,42,39,5,181,-2,-86,-11
316,80,-12,11,14,65,81,36,49,108,36,80,1,10,48,76,-1,41,39,3,181,-3,-85,-12
326,80,-11,9,15,67,81,36,50,108,36,80,2,9,48,75,0,42,39,4,181,-5,-87,-14
335,80,-15,12,14,66,81,36,49,107,35,80,0,10,48,75,-1,42,41,4,182,-3,-86,-14
345,80,-11,10,14,65,81,34,51,107,35,80,0,11,49,76,1,42,40,5,181,-2,-84,-12
355,64,-12,12,13,66,82,33,49,107,35,80,0,8,48,75,-2,41,39,4,181,-2,-82,-11
364,80,-13,10,14,66,82,36,50,106,38,80,0,11,47,76,0,44,40,3,181,-2,-82,-13
373,64,-13,7,13,67,82,35,50,107,37,80,1,8,48,76,0,42,40,4,181,-4,-81,-13
383,80,-11,9,14,65,82,34,50,107,36,80,0,9,47,77,-1,42,40,7,182,-2,-82,-12
393,80,-13,12,14,66,82,35,50,107,36,80,2,11,48,76,-1,42,39,4,182,-1,-80,-14
